"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,366a,402,403,404,404L,409,409A,411,412US,441,442,445,452,C200WW,C300WW,C400NE,C400WW,MallStage,ODNorth,ODSE,ODSW,P100W
"2019-08-20T18:00:00.000-0700",26,5,0,14,10,15,0,5,0,5,9,0,1,0,2,7,15,13,6,3,4,137,114,20,107,53,16,8,7,24,26,30,55,63,3,4,36,92,36,98,20,16,19,26,3,87,1,0,1,4,14,5,2,1,3,12,3,2,4,0,2,1,14,0,1,1,1,5,0,1,0,2,2,2,10,4,1,0,1,9,50,12,1,17,0,6,9,3,9,1,4,10,2,1,3,168,167,143,90,42
"2019-08-20T19:00:00.000-0700",15,3,1,11,7,6,1,1,0,1,5,1,0,1,1,5,6,11,7,6,9,127,85,34,67,74,15,11,2,28,46,27,57,34,2,1,17,78,32,52,9,5,8,9,3,92,3,0,9,8,9,2,5,3,6,6,1,1,2,1,5,3,15,1,1,0,0,2,1,1,1,0,9,9,2,7,1,1,0,1,40,5,1,5,0,1,3,1,9,0,0,14,5,0,2,83,85,154,93,46
"2019-08-20T20:00:00.000-0700",12,4,0,9,7,6,0,0,0,2,2,0,1,0,2,2,2,2,0,0,1,54,38,10,52,21,2,8,5,8,14,7,18,8,2,0,8,22,7,30,1,3,2,5,1,41,0,0,3,4,2,1,2,1,2,5,0,0,2,1,2,0,12,0,2,1,0,0,1,2,2,0,0,0,1,0,0,1,0,3,13,8,1,1,1,5,3,2,8,0,0,12,2,0,2,63,64,81,48,18
"2019-08-20T21:00:00.000-0700",9,0,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,18,3,1,5,1,2,3,5,5,7,0,1,2,3,1,5,2,1,0,0,1,10,3,0,1,15,1,0,1,2,7,1,1,2,2,4,15,1,7,0,1,0,0,1,0,2,1,0,4,2,2,3,1,0,0,1,5,0,0,0,0,1,1,3,1,1,0,17,8,1,0,32,43,28,16,4
"2019-08-20T22:00:00.000-0700",0,0,0,0,0,0,0,0,1,3,2,1,1,0,2,3,3,2,0,1,1,2,12,1,3,3,2,1,1,4,1,1,4,1,0,0,1,1,0,2,2,1,1,1,1,4,1,0,3,0,0,1,1,1,2,2,0,0,3,0,2,0,5,0,2,2,1,2,1,2,2,0,1,2,3,1,2,1,0,0,4,0,0,1,0,0,1,1,1,0,0,1,2,0,0,21,4,18,8,3
"2019-08-20T23:00:00.000-0700",0,0,0,0,0,0,0,0,0,3,3,1,1,0,3,1,3,2,0,1,1,2,6,0,3,0,2,0,0,0,0,1,2,1,0,0,0,0,0,2,3,2,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,9,5,3,0
"2019-08-21T00:00:00.000-0700",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,3,5,3,0
"2019-08-21T01:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1
"2019-08-21T02:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,2,1,0
"2019-08-21T03:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"2019-08-21T04:00:00.000-0700",0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,3,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
