"_time",102,108,109,110,112,114,140,141A,142B,143,149B,150,150A,151,155B,155D,158,164,164A,166,168,168A,200E,200SW,200WE,202,203,205,206,214,242,246,250,250B,250C,253,255,257,258,260,261A,268,270,274,278,300,300SE,302,302A,303,304,304B,304D,304J,305,306,308,319,321,323,325,325M,341,342,345,"345?",345A,345B,345C,345D,345N,345S,346,348,350,351,352,354,360,364,366a,402,403,404,404L,409,411,412US,441,442,445,452,C200WW,C300WW,C400NE,MallStage,ODNorth,ODSE,ODSW,P100W
"2020-08-04T13:00:00.000-0700",19,17,0,14,13,8,1,3,2,7,9,0,2,6,0,3,12,8,10,3,5,6,8,10,6,30,4,0,13,8,4,3,4,2,5,1,2,3,6,2,22,12,3,1,6,3,12,6,6,3,17,4,2,6,4,6,9,4,7,0,7,11,1,1,0,1,0,0,3,0,0,0,2,4,1,2,2,2,1,0,0,0,7,0,4,2,0,0,0,0,0,0,21,14,0,19,37,10,5,13
"2020-08-04T14:00:00.000-0700",16,13,3,18,14,5,1,7,3,5,11,3,5,5,1,1,17,8,12,7,1,4,6,10,4,31,5,1,10,7,5,7,8,3,9,1,1,2,2,1,17,13,8,2,3,1,10,5,4,2,11,4,2,7,4,5,12,3,3,1,6,8,2,0,0,1,1,1,1,0,0,1,1,4,1,0,0,0,1,0,0,0,9,1,2,0,0,1,2,2,0,1,20,12,0,19,32,18,6,15
"2020-08-04T15:00:00.000-0700",18,20,1,9,12,10,0,1,3,3,5,0,4,1,1,2,11,8,7,7,3,2,6,13,2,31,9,4,9,3,2,6,7,3,8,0,1,0,3,0,9,8,4,1,0,2,7,2,3,3,11,4,1,5,3,1,12,1,2,0,3,3,3,1,1,2,1,0,4,2,2,2,1,4,3,0,3,0,2,0,0,0,6,4,2,0,2,2,3,3,1,2,13,3,1,14,34,13,5,10
"2020-08-04T16:00:00.000-0700",12,12,0,12,11,5,0,1,1,2,6,0,1,0,1,0,5,4,3,4,1,1,3,7,2,24,2,2,7,4,2,3,3,3,2,1,0,1,0,0,5,7,1,0,1,0,2,3,1,2,6,2,4,3,2,3,9,1,2,0,5,6,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,1,0,1,1,7,1,1,1,0,0,0,0,1,0,14,7,0,15,36,11,6,2
"2020-08-04T17:00:00.000-0700",8,6,0,1,7,6,0,1,2,0,3,1,1,0,0,0,2,4,3,4,0,0,1,12,0,17,2,2,5,3,2,0,3,2,4,0,0,2,0,0,7,3,1,0,0,0,2,1,0,1,7,2,0,2,1,3,4,2,1,0,1,8,0,4,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,5,0,0,1,0,1,0,2,0,0,13,6,0,18,37,22,6,8
"2020-08-04T18:00:00.000-0700",0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,3,4,3,1,1,1,14,0,4,5,3,0,1,1,0,2,0,1,0,0,0,0,0,4,7,3,0,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,5,0,0,1,0,0,33,28,32,13,5
"2020-08-04T19:00:00.000-0700",0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,32,1,13,11,4,1,1,1,0,8,6,0,0,0,1,1,0,3,3,0,1,1,0,3,1,0,1,1,1,1,1,0,1,3,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,16,0,0,0,0,0,0,4,0,0,1,1,0,54,29,63,32,11
"2020-08-04T20:00:00.000-0700",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,19,0,0,3,2,0,1,0,0,4,3,3,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,9,0,0,1,0,0,0,4,0,0,0,0,0,35,8,36,21,1
"2020-08-04T21:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,21,5,17,7,2
"2020-08-04T22:00:00.000-0700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,8,8,1,0
